2020,0,1163.75
2020,1,840.21
2020,2,1382.69
2020,3,1394.20
2020,4,1142.45
2020,5,1771.96
2020,6,1588.98
2020,7,1307.53
2020,8,1021.66
2020,9,1697.31
2020,10,1397.90
2020,11,1142.95
2020,12,1416.09
2020,13,1501.01
2020,14,851.33
2020,15,1665.66
2020,16,1465.32
2020,17,1953.98
2020,18,1644.00
2020,19,2113.84
2020,20,1315.87
2020,21,1444.52
2020,22,1232.04
2020,23,1532.33
2021,0,1258.78
2021,1,1354.67
2021,2,1231.43
2021,3,1008.72
2021,4,897.07
2021,5,2066.30
2021,6,1106.88
2021,7,1024.00
2021,8,1462.09
2021,9,1351.09
2021,10,1418.18
2021,11,1624.70
2021,12,1607.06
2021,13,1703.44
2021,14,830.17
2021,15,1037.44
2021,16,1145.94
2021,17,1574.51
2021,18,1269.27
2021,19,1420.40
2021,20,881.86
2021,21,1469.58
2021,22,1491.33
2021,23,1431.62
2022,0,1193.17
2022,1,1383.77
2022,2,1349.21
2022,3,671.47
2022,4,1368.60
2022,5,1332.53
2022,6,1544.71
2022,7,1505.92
2022,8,1161.84
2022,9,1592.70
2022,10,1664.43
2022,11,1835.87
2022,12,1361.54
2022,13,623.20
2022,14,964.03
2022,15,1011.73
2022,16,1145.51
2022,17,1438.81
2022,18,1389.20
2022,19,774.00
2022,20,1433.81
2022,21,1052.65
2022,22,1072.22
2022,23,1506.85
2023,0,1354.98
2023,1,833.55
2023,2,1416.10
2023,3,1292.79
2023,4,1688.31
2023,5,1957.34
2023,6,1742.08
2023,7,1755.40
2023,8,840.80
2023,9,1354.64
2023,10,1441.62
2023,11,1113.51
2023,12,1388.37
2023,13,1202.27
2023,14,1497.45
2023,15,1415.24
2023,16,1061.61
2023,17,1487.50
2023,18,1203.36
2023,19,1425.68
2023,20,1224.64
2023,21,1108.22
2023,22,1506.91
2023,23,1091.08
2024,0,1467.77
2024,1,1594.45
2024,2,958.85
2024,3,1299.22
2024,4,1614.95
2024,5,1368.87
2024,6,1362.46
2024,7,1731.84
2024,8,911.75
2024,9,1109.32
2024,10,1145.12
2024,11,1688.55
2024,12,1370.26
2024,13,861.18
2024,14,803.12
2024,15,1363.02
2024,16,1720.99
2024,17,1447.85
2024,18,2081.65
2024,19,1329.09
2024,20,1204.30
2024,21,1797.03
2024,22,1360.30
2024,23,1429.12
